x,y
570560.1300,7035292.6000
570560.5000,7035293.4400
570560.8300,7035294.1900
570561.2200,7035295.2300
570561.5400,7035296.1500
570561.8500,7035297.0600
570562.1400,7035297.9900
570562.3900,7035298.9600
570562.6700,7035299.9000
570562.9600,7035300.8300
570563.2900,7035301.9300
570563.5700,7035302.9000
570563.7400,7035303.6700
570564.0600,7035304.7900
570564.3300,7035305.7400
570564.6100,7035306.7300
570564.9000,7035307.7400
570565.1300,7035308.6500
570565.4100,7035309.6200
570565.7000,7035310.6000
570565.9900,7035311.5800
570566.2700,7035312.5600
570566.5500,7035313.6600
570566.8600,7035314.6800
570567.1700,7035315.6900
570567.4800,7035316.7100
570567.7900,7035317.7200
570568.1100,7035318.9400
570568.4400,7035319.9600
570568.7600,7035321.0000
570569.0900,7035322.0300
570569.4200,7035323.0800
570569.7200,7035324.1300
570570.0600,7035325.1800
570570.4000,7035326.2300
570570.7400,7035327.3000
570571.0800,7035328.3600
570571.3700,7035329.3900
570571.7100,7035330.4600
570572.0400,7035331.5200
570572.3800,7035332.5800
570572.7800,7035333.8200
570573.0900,7035334.8700
570573.4300,7035335.9400
570573.7700,7035336.9900
570574.1100,7035338.0400
570574.4400,7035339.0800
570574.7700,7035340.1500
570575.1100,7035341.1900
570575.4500,7035342.2400
570575.8000,7035343.2700
570576.1400,7035344.2900
570576.4500,7035345.2700
570576.8000,7035346.2800
570577.1600,7035347.2800
570577.5100,7035348.2800
570577.9200,7035349.4500
570578.2500,7035350.4000
570578.5500,7035351.2100
570578.9600,7035352.3400
570579.3200,7035353.3000
570579.6800,7035354.2700
570580.0000,7035355.2000
570580.3600,7035356.1400
570580.7100,7035357.0900
570581.0600,7035358.0300
570581.4200,7035358.9600
570581.7700,7035359.9400
570582.1300,7035360.8900
570582.5600,7035361.9900
570582.9300,7035362.9300
570583.3000,7035363.8900
570583.6600,7035364.8000
570584.0400,7035365.7400
570584.4200,7035366.6900
570584.8000,7035367.6100
570585.1800,7035368.5400
570585.5800,7035369.5100
570585.9700,7035370.4700
570586.3700,7035371.4100
570586.7800,7035372.3700
570587.1800,7035373.3400
570587.5700,7035374.2600
570587.9800,7035375.2100
570588.3800,7035376.1700
570588.7900,7035377.1400
570589.2700,7035378.2600
570589.7000,7035379.2800
570590.1200,7035380.2500
570590.5300,7035381.2300
570590.9500,7035382.2100
570591.3500,7035383.1900
570591.7500,7035384.0900
570592.1500,7035385.0500
570592.5400,7035385.9900
570592.9400,7035386.9300
570593.3300,7035387.8700
570593.7400,7035388.7900
570594.1200,7035389.7200
570594.5100,7035390.6400
570594.8900,7035391.5500
570595.2600,7035392.4500
570595.6400,7035393.3800
570596.0700,7035394.4200
570596.4400,7035395.3100
570596.8100,7035396.2000
570597.1800,7035397.0700
570597.5700,7035398.0100
570597.9400,7035398.8900
570598.3000,7035399.7600
570598.6600,7035400.6200
570599.0800,7035401.6100
570599.4500,7035402.4700
570599.7300,7035403.1700
570600.0800,7035404.0100
570600.4500,7035405.0000
570600.7600,7035405.8600
570601.0300,7035406.6100
570601.3200,7035407.6300
570601.5400,7035408.5300
570601.7000,7035409.4200
570601.8300,7035410.3300
570601.9600,7035411.3100
570601.9700,7035412.2300
570601.9200,7035413.1300
570601.8200,7035414.0400
570601.6300,7035415.0700
570601.5000,7035415.8600
570601.2300,7035416.7200
570600.8500,7035417.7100
570600.5300,7035418.3900
570600.0000,7035419.3400
570599.4600,7035420.2600
570598.8700,7035421.0400
570598.2300,7035421.8000
570597.5300,7035422.5200
570596.7700,7035423.2100
570595.9700,7035423.9200
570595.1500,7035424.5400
570594.2900,7035425.1300
570593.4100,7035425.7000
570592.4900,7035426.2500
570591.3000,7035426.8500
570590.4900,7035427.2700
570589.5200,7035427.7600
570588.5400,7035428.2300
570587.3900,7035428.7600
570586.4400,7035429.1400
570585.4100,7035429.5800
570584.2000,7035430.0900
570583.3400,7035430.4600
570582.1200,7035430.9800
570581.0900,7035431.3300
570580.0400,7035431.7600
570578.9800,7035432.2000
570577.9100,7035432.6500
570576.6700,7035433.1700
570575.8300,7035433.4800
570574.7700,7035433.9300
570573.5300,7035434.4500
570572.6400,7035434.8200
570571.5800,7035435.2700
570570.4800,7035435.7100
570569.2400,7035436.2400
570568.1800,7035436.6800
570567.1200,7035437.1400
570566.0600,7035437.5900
570564.9900,7035438.0300
570563.9300,7035438.4800
570562.8700,7035438.9400
570561.8100,7035439.4000
570560.5800,7035439.9300
570559.5600,7035440.3400
570558.7100,7035440.7100
570557.5200,7035441.2300
570556.5100,7035441.6700
570555.6600,7035442.0400
570554.4700,7035442.5300
570553.4600,7035442.9700
570552.4700,7035443.4000
570551.4700,7035443.8500
570550.4700,7035444.2800
570549.5000,7035444.7200
570548.5200,7035445.1500
570547.5700,7035445.5800
570546.6300,7035445.9900
570545.5500,7035446.4600
570544.5900,7035446.7900
570543.8200,7035447.0900
570542.7500,7035447.4500
570541.8300,7035447.7200
570541.0700,7035447.9100
570539.9900,7035448.1600
570539.0800,7035448.2800
570538.1800,7035448.3500
570537.4300,7035448.3600
570536.3900,7035448.3100
570535.4000,7035448.2500
570534.5200,7035448.0900
570533.6700,7035447.8700
570532.7000,7035447.5400
570531.8900,7035447.2000
570530.9100,7035446.8000
570530.2500,7035446.4400
570529.3400,7035445.8800
570528.5900,7035445.3500
570527.8700,7035444.7900
570527.1400,7035444.1800
570526.4700,7035443.5400
570525.8300,7035442.8700
570525.2300,7035442.1700
570524.6600,7035441.4500
570524.0300,7035440.6100
570523.5100,7035439.8300
570523.0200,7035439.0300
570522.5700,7035438.2300
570522.0700,7035437.3000
570521.6700,7035436.4900
570521.3600,7035435.8600
570520.9600,7035435.0400
570520.6500,7035434.4100
570520.3800,7035433.8600
570520.1400,7035433.2600
570519.7800,7035432.5200
570519.5600,7035432.0600
570519.3500,7035431.5700
